34.0	34.0	30.0	30.0	52.0	62.0	32.0	58.0	40.0	38.0	66.0	44.0	40.0	46.0	50.0	60.0	58.0	58.0	48.0	40.0	0.0	32.0	32.0	42.0	44.0	48.0	50.0	26.0	42.0	54.0	48.0	40.0	38.0	56.0	42.0	54.0	50.0	38.0	42.0	38.0	52.0	26.0	50.0	44.0	48.0	
30.0	48.0	36.0	28.0	50.0	44.0	38.0	34.0	24.0	46.0	30.0	34.0	26.0	42.0	46.0	30.0	26.0	28.0	40.0	40.0	32.0	0.0	34.0	40.0	30.0	44.0	30.0	36.0	30.0	32.0	52.0	36.0	42.0	50.0	30.0	48.0	50.0	42.0	42.0	34.0	24.0	40.0	32.0	46.0	24.0	
48.0	28.0	46.0	40.0	34.0	26.0	34.0	34.0	34.0	32.0	32.0	44.0	44.0	42.0	52.0	38.0	48.0	52.0	42.0	48.0	32.0	34.0	0.0	32.0	34.0	40.0	32.0	36.0	38.0	32.0	30.0	28.0	30.0	48.0	54.0	32.0	36.0	42.0	46.0	42.0	22.0	32.0	62.0	54.0	50.0	
58.0	38.0	60.0	38.0	42.0	36.0	62.0	36.0	36.0	38.0	48.0	72.0	42.0	40.0	48.0	52.0	58.0	36.0	40.0	50.0	42.0	40.0	32.0	0.0	40.0	44.0	66.0	32.0	44.0	52.0	36.0	48.0	56.0	46.0	56.0	42.0	34.0	38.0	44.0	44.0	50.0	48.0	32.0	54.0	42.0	
38.0	66.0	36.0	48.0	34.0	44.0	34.0	42.0	32.0	40.0	32.0	46.0	50.0	38.0	54.0	44.0	46.0	30.0	50.0	40.0	44.0	30.0	34.0	40.0	0.0	40.0	34.0	40.0	40.0	24.0	38.0	32.0	60.0	40.0	42.0	62.0	48.0	36.0	42.0	50.0	36.0	32.0	50.0	42.0	44.0	
48.0	42.0	42.0	62.0	38.0	46.0	38.0	24.0	46.0	32.0	64.0	50.0	50.0	52.0	52.0	52.0	42.0	52.0	46.0	48.0	48.0	44.0	40.0	44.0	40.0	0.0	56.0	52.0	50.0	40.0	56.0	22.0	38.0	46.0	40.0	58.0	48.0	54.0	46.0	52.0	38.0	50.0	68.0	40.0	32.0	
58.0	58.0	50.0	58.0	56.0	34.0	42.0	62.0	40.0	54.0	54.0	48.0	38.0	52.0	32.0	44.0	58.0	48.0	46.0	52.0	50.0	30.0	32.0	66.0	34.0	56.0	0.0	42.0	52.0	46.0	54.0	28.0	44.0	46.0	60.0	48.0	54.0	44.0	48.0	58.0	44.0	54.0	52.0	46.0	52.0	
62.0	54.0	22.0	48.0	38.0	50.0	36.0	36.0	48.0	42.0	48.0	40.0	46.0	32.0	48.0	46.0	46.0	30.0	42.0	38.0	26.0	36.0	36.0	32.0	40.0	52.0	42.0	0.0	24.0	46.0	28.0	34.0	24.0	50.0	32.0	38.0	46.0	32.0	44.0	40.0	32.0	40.0	50.0	38.0	50.0	
50.0	42.0	42.0	42.0	40.0	26.0	56.0	36.0	36.0	40.0	42.0	52.0	46.0	22.0	30.0	50.0	40.0	40.0	26.0	34.0	42.0	30.0	38.0	44.0	40.0	50.0	52.0	24.0	0.0	32.0	34.0	38.0	60.0	40.0	40.0	36.0	38.0	46.0	38.0	40.0	26.0	34.0	56.0	48.0	34.0	
24.0	48.0	38.0	32.0	36.0	48.0	40.0	38.0	32.0	38.0	40.0	40.0	32.0	48.0	32.0	34.0	38.0	54.0	50.0	40.0	54.0	32.0	32.0	52.0	24.0	40.0	46.0	46.0	32.0	0.0	44.0	36.0	46.0	60.0	36.0	42.0	42.0	54.0	52.0	38.0	48.0	44.0	56.0	46.0	52.0	
38.0	44.0	42.0	42.0	44.0	50.0	42.0	50.0	36.0	62.0	58.0	40.0	48.0	46.0	40.0	40.0	60.0	56.0	50.0	48.0	48.0	52.0	30.0	36.0	38.0	56.0	54.0	28.0	34.0	44.0	0.0	46.0	48.0	60.0	42.0	36.0	38.0	54.0	44.0	60.0	26.0	38.0	64.0	46.0	34.0	
40.0	40.0	52.0	48.0	44.0	44.0	32.0	36.0	40.0	52.0	44.0	52.0	50.0	52.0	30.0	20.0	40.0	62.0	38.0	36.0	40.0	36.0	28.0	48.0	32.0	22.0	28.0	34.0	38.0	36.0	46.0	0.0	50.0	46.0	30.0	42.0	40.0	36.0	40.0	46.0	36.0	56.0	48.0	34.0	44.0	
38.0	52.0	38.0	56.0	44.0	28.0	56.0	52.0	44.0	46.0	46.0	58.0	58.0	52.0	38.0	38.0	60.0	42.0	26.0	64.0	38.0	42.0	30.0	56.0	60.0	38.0	44.0	24.0	60.0	46.0	48.0	50.0	0.0	48.0	50.0	52.0	58.0	54.0	38.0	70.0	40.0	56.0	36.0	56.0	46.0	
62.0	66.0	46.0	50.0	62.0	52.0	38.0	40.0	48.0	38.0	30.0	66.0	48.0	46.0	62.0	44.0	50.0	56.0	58.0	44.0	56.0	50.0	48.0	46.0	40.0	46.0	46.0	50.0	40.0	60.0	60.0	46.0	48.0	0.0	50.0	48.0	30.0	44.0	46.0	38.0	50.0	62.0	60.0	56.0	46.0	
50.0	38.0	50.0	40.0	48.0	36.0	34.0	42.0	40.0	62.0	44.0	42.0	40.0	62.0	44.0	48.0	58.0	38.0	46.0	54.0	42.0	30.0	54.0	56.0	42.0	40.0	60.0	32.0	40.0	36.0	42.0	30.0	50.0	50.0	0.0	40.0	52.0	38.0	42.0	46.0	32.0	44.0	58.0	46.0	38.0	
42.0	30.0	52.0	34.0	44.0	38.0	46.0	50.0	34.0	46.0	44.0	42.0	48.0	54.0	36.0	48.0	62.0	34.0	40.0	46.0	54.0	48.0	32.0	42.0	62.0	58.0	48.0	38.0	36.0	42.0	36.0	42.0	52.0	48.0	40.0	0.0	52.0	36.0	60.0	42.0	44.0	36.0	40.0	42.0	44.0	
50.0	50.0	48.0	56.0	36.0	60.0	44.0	50.0	36.0	50.0	50.0	34.0	50.0	54.0	40.0	42.0	50.0	50.0	40.0	38.0	50.0	50.0	36.0	34.0	48.0	48.0	54.0	46.0	38.0	42.0	38.0	40.0	58.0	30.0	52.0	52.0	0.0	46.0	50.0	56.0	42.0	36.0	56.0	22.0	52.0	
42.0	36.0	44.0	44.0	38.0	64.0	52.0	46.0	38.0	56.0	40.0	64.0	56.0	44.0	34.0	46.0	42.0	54.0	40.0	46.0	38.0	42.0	42.0	38.0	36.0	54.0	44.0	32.0	46.0	54.0	54.0	36.0	54.0	44.0	38.0	36.0	46.0	0.0	52.0	52.0	34.0	40.0	50.0	38.0	54.0	
42.0	48.0	42.0	48.0	50.0	46.0	52.0	58.0	38.0	36.0	58.0	60.0	70.0	62.0	46.0	40.0	48.0	54.0	44.0	36.0	42.0	42.0	46.0	44.0	42.0	46.0	48.0	44.0	38.0	52.0	44.0	40.0	38.0	46.0	42.0	60.0	50.0	52.0	0.0	46.0	46.0	38.0	58.0	44.0	50.0	
58.0	36.0	38.0	54.0	30.0	50.0	52.0	24.0	32.0	54.0	24.0	38.0	42.0	46.0	52.0	50.0	48.0	46.0	40.0	58.0	38.0	34.0	42.0	44.0	50.0	52.0	58.0	40.0	40.0	38.0	60.0	46.0	70.0	38.0	46.0	42.0	56.0	52.0	46.0	0.0	48.0	42.0	48.0	44.0	34.0	
48.0	40.0	40.0	48.0	36.0	40.0	36.0	30.0	30.0	48.0	44.0	50.0	48.0	34.0	36.0	50.0	30.0	30.0	46.0	46.0	52.0	24.0	22.0	50.0	36.0	38.0	44.0	32.0	26.0	48.0	26.0	36.0	40.0	50.0	32.0	44.0	42.0	34.0	46.0	48.0	0.0	36.0	48.0	40.0	48.0	
54.0	64.0	46.0	46.0	40.0	32.0	48.0	44.0	36.0	40.0	36.0	60.0	38.0	36.0	48.0	46.0	40.0	54.0	50.0	42.0	26.0	40.0	32.0	48.0	32.0	50.0	54.0	40.0	34.0	44.0	38.0	56.0	56.0	62.0	44.0	36.0	36.0	40.0	38.0	42.0	36.0	0.0	44.0	34.0	58.0	
52.0	58.0	48.0	46.0	46.0	46.0	40.0	52.0	36.0	42.0	42.0	60.0	64.0	44.0	60.0	44.0	50.0	46.0	48.0	50.0	50.0	32.0	62.0	32.0	50.0	68.0	52.0	50.0	56.0	56.0	64.0	48.0	36.0	60.0	58.0	40.0	56.0	50.0	58.0	48.0	48.0	44.0	0.0	44.0	48.0	
40.0	46.0	42.0	34.0	48.0	38.0	46.0	42.0	22.0	52.0	58.0	42.0	36.0	50.0	44.0	50.0	54.0	50.0	44.0	60.0	44.0	46.0	54.0	54.0	42.0	40.0	46.0	38.0	48.0	46.0	46.0	34.0	56.0	56.0	46.0	42.0	22.0	38.0	44.0	44.0	40.0	34.0	44.0	0.0	30.0	
46.0	54.0	44.0	44.0	48.0	44.0	50.0	54.0	26.0	26.0	42.0	50.0	42.0	48.0	36.0	46.0	62.0	52.0	50.0	38.0	48.0	24.0	50.0	42.0	44.0	32.0	52.0	50.0	34.0	52.0	34.0	44.0	46.0	46.0	38.0	44.0	52.0	54.0	50.0	34.0	48.0	58.0	48.0	30.0	0.0	
